Title,,,,,,Date Created,Latitude,Longitude,Northing,Easting,Description,Biocontrol,Camera,Chemical c,Density,Detection method,Detection method description,id,Notes,Number of,Plot,Quarter,Seedling,Sex,Species,Status,timestamp,Tree#,X,Y,,,,,,,
marula tree wrapped,,,,, 1.5 mesh no previous damage ,2021-04-21T13:45:11+02:00,-24.22340547,30.90501884,7319442707,287255.0135,,,,,,,,,,,,,,,,,,,,,,,,,,,
marula tree wrapped,,,,, 1.5 mesh previous tusking ,2021-04-21T13:43:36+02:00,-24.22340217,30.9049863,7319443023,287251.7026,,,,,,,,,,,,,,,,,,,,,,,,,,,
qon,,, foot, bc, small,2021-04-21T11:11:44+02:00,-24.21313962,30.82108736,7320449331,278711.3463,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qon foot,,,, small, bc ,2021-04-21T10:57:20+02:00,-24.21191692,30.81879486,7320581134,278476.3305,,,,,,,,,,,,,,,,,,,,,,,,,,,
broken bottom and second strand,,,,,,2021-04-21T10:52:45+02:00,-24.21205918,30.81866385,7320565168,278463.2674,,,,,,,,,,,,,,,,,,,,,,,,,,,
marula tree wrapped,,,, 1.5 mesh,  no previous damage ,2021-04-20T13:57:03+02:00,-24.22453668,30.89112304,7319296.15,285845.3662,,,,,,,,,,,,,,,,,,,,,,,,,,,
knobthorn wrapped,,,, 1.5 mesh, no previous damage ,2021-04-20T13:38:23+02:00,-24.22528829,30.88215319,7319199.1,284935473,,,,,,,,,,,,,,,,,,,,,,,,,,,
marula tree wrapped,,,,, 1.5 mesh ,2021-04-20T13:37:47+02:00,-24.22515839,30.8823086,7319213728,284951.0414,,,,,,,,,,,,,,,,,,,,,,,,,,,
pp,,,, tree wrapping foot, 6clds untreated ,2021-04-20T13:28:02+02:00,-24.22515483,30.88234884,7319214184,284955.1225,,,,,,,,,,,,,,,,,,,,,,,,,,,
marula wrapped,,,, 1.5 mesh, no previous damage ,2021-04-20T13:15:32+02:00,-24.22580265,30.87682706,7319133905,284395.3128,,,,,,,,,,,,,,,,,,,,,,,,,,,
marula tree wrapped,,,,, 1.5m mesh ,2021-04-20T13:15:09+02:00,-24.22582198,30.8768548,7319131807,284398.1636,,,,,,,,,,,,,,,,,,,,,,,,,,,
marula tree,,,, wrapped, 1.5 mesh x2 no previous damage ,2021-04-20T13:14:18+02:00,-24.22577384,30.87696028,7319137303,284408.7973,,,,,,,,,,,,,,,,,,,,,,,,,,,
marula tree wrapped 1.5 mesh ,,,,,,2021-04-09T12:24:21+02:00,-24.21147936,30.85654801,7320688993,282311.0111,,,,,,,,,,,,,,,,,,,,,,,,,,,
