Species,Quarter,NewControl,Latitude,Longitude,Northing,Easting
prickly pear,2020 - Quarter 1,Removed,-24.17941,30.87151,7324264.49664194,283776.908781789
prickly pear,2020 - Quarter 1,Both,-24.18917,30.87623,7323190.69947106,284272.962318509
prickly pear,2020 - Quarter 1,Both,-24.22271,30.8979,7319508.87047498,286530.720413786
prickly pear,2020 - Quarter 1,Untreated,-24.197,30.8777,7322325.65865522,284435.498605061
prickly pear,2020 - Quarter 1,Untreated,-24.2222,30.88577,7319546.75217222,285297.68494314
prickly pear,2020 - Quarter 1,Removed,-24.22102,30.88525,7319676.65767386,285242.882223196
prickly pear,2020 - Quarter 1,Removed,-24.21727,30.89795,7320111.5188416,286526.726139844
prickly pear,2020 - Quarter 1,Removed,-24.21728,30.89872,7320111.58865253,286604.963438491
prickly pear,2020 - Quarter 1,Dead,-24.20451,30.89704,7321523.51131834,286412.999583372
prickly pear,2020 - Quarter 1,Both,-24.20402,30.89653,7321577.00687389,286360.368591715
prickly pear,2020 - Quarter 1,Both,-24.20194,30.89347,7321802.71715424,286046.010807997
prickly pear,2020 - Quarter 1,Both,-24.20199,30.89371,7321797.54647288,286070.477740715
prickly pear,2020 - Quarter 1,Both,-24.20199,30.89371,7321797.54647288,286070.477740715
prickly pear,2020 - Quarter 1,Both,-24.20163,30.89369,7321837.39190664,286067.844555542
prickly pear,2020 - Quarter 1,Removed,-24.20135,30.8894,7321861.828400161,285631.5207607
prickly pear,2020 - Quarter 1,Both,-24.20467,30.88566,7321488.33529089,285257.109075312
prickly pear,2020 - Quarter 1,Both,-24.20428,30.88516,7321530.76553165,285205.657125133
prickly pear,2020 - Quarter 1,Both,-24.2043,30.88521,7321528.62709369,285210.770471273
prickly pear,2020 - Quarter 1,Both,-24.2043,30.88518,7321528.58094908,285207.722587979
prickly pear,2020 - Quarter 1,Both,-24.2043,30.88518,7321528.58094908,285207.722587979
prickly pear,2020 - Quarter 1,Removed,-24.20333,30.88595,7321637.20935855,285284.325498482
prickly pear,2020 - Quarter 1,Both,-24.20296,30.88755,7321680.65237085,285446.260626851
prickly pear,2020 - Quarter 1,Both,-24.19358,30.88563,7322716.69754744,285235.470804176
prickly pear,2020 - Quarter 1,Removed,-24.2079,30.89276,7321141.45824229,285983.835851439
prickly pear,2020 - Quarter 1,Bio,-24.22203,30.88569,7319565.459557659,285289.273172671
prickly pear,2020 - Quarter 1,Bio,-24.219,30.8858,7319901.25424795,285295.364118344
prickly pear,2020 - Quarter 1,Bio,-24.2193,30.88607,7319868.43935995,285323.295088761
prickly pear,2020 - Quarter 1,Bio,-24.21638,30.8954,7320206.19891607,286266.197574744
prickly pear,2020 - Quarter 1,Bio,-24.21621,30.89521,7320224.73834305,286246.612350785
prickly pear,2020 - Quarter 1,Bio,-24.21482,30.89042,7320371.36086811,285757.687628281
prickly pear,2020 - Quarter 1,Chemical,-24.20197,30.8827,7321782.85210986,284951.852238733
prickly pear,2020 - Quarter 1,Both,-24.20209,30.88244,7321769.15963337,284925.638224394
prickly pear,2020 - Quarter 1,Bio,-24.20187,30.88229,7321793.29744667,284910.029110717
prickly pear,2020 - Quarter 1,Chemical,-24.20171,30.88214,7321810.78920143,284894.520702384
prickly pear,2020 - Quarter 1,Both,-24.19239,30.87538,7322832.71517401,284192.017266371
prickly pear,2020 - Quarter 1,Both,-24.19588,30.87426,7322444.40536173,284084.099253421
prickly pear,2020 - Quarter 1,Both,-24.19616,30.87424,7322413.35948597,284082.53903374
prickly pear,2020 - Quarter 1,Both,-24.1957,30.8725,7322461.6219741,283904.973841094
prickly pear,2020 - Quarter 1,Both,-24.19042,30.87455,7323049.64505622,284104.365580231
prickly pear,2020 - Quarter 1,Both,-24.19016,30.87478,7323078.800024711,284127.297393918
prickly pear,2020 - Quarter 1,Both,-24.18966,30.87424,7323133.34940471,284071.586795706
prickly pear,2020 - Quarter 1,Both,-24.19377,30.87166,7322674.10414955,283816.370729281
prickly pear,2020 - Quarter 1,Chemical,-24.19626,30.87301,7322400.380889629,283957.735856716
prickly pear,2020 - Quarter 2,Both,-24.19559,30.92555,7322554.84899382,289294.797093303
prickly pear,2020 - Quarter 2,Both,-24.20164,30.92806,7321888.50315969,289559.753831063
prickly pear,2020 - Quarter 2,Both,-24.20164,30.92806,7321888.50315969,289559.753831063
prickly pear,2020 - Quarter 2,Both,-24.20124,30.92793,7321932.61336791,289545.889153898
prickly pear,2020 - Quarter 2,Both,-24.20124,30.92793,7321932.61336791,289545.889153898
prickly pear,2020 - Quarter 2,Both,-24.20101,30.92799,7321958.17978374,289551.60711004
prickly pear,2020 - Quarter 2,Both,-24.20167,30.93087,7321889.41142955,289845.288668365
prickly pear,2020 - Quarter 2,Both,-24.21302,30.85387,7320514.15940964,282041.569829681
prickly pear,2020 - Quarter 2,Both,-24.21324,30.85292,7320488.30657793,281945.433487486
prickly pear,2020 - Quarter 2,Both,-24.21325,30.85295,7320487.24575115,281948.498232467
prickly pear,2020 - Quarter 2,Both,-24.21325,30.85295,7320487.24575115,281948.498232467
prickly pear,2020 - Quarter 2,Both,-24.19673,30.87774,7322355.6276269,284439.108435826
prickly pear,2020 - Quarter 2,Both,-24.22209,30.88461,7319557.15135054,285179.665307119
